Mship No,Company Name,Address,Name,Ph (Off),Email,Business Sector(s),Business Speciality
NEW-1329,CHENAB STEEL RE-ROLLING MILLS,BUND ROAD SHADIPURA,,6545426,,IRON & STEEL RE-ROLLING MILLS,M.S. BAR
NEW-1330,CHOHAN STEEL RE-ROLLING MILLS,SULTAN MAHMOOD ROAD SHALIMAR TOWN,,"7287233-7285381
111-008-007",,IRON & STEEL RE-ROLLING MILLS,M.S. BAR
NEW-1331,CITY STEEL MILLS,(PVT) LTD BADAMI BAGH,,6817183,,IRON & STEEL RE-ROLLING MILLS,M.S. PRODUCTS
NEW-1332,CRESENT STEEL RE-ROLLING MILLS,NOOR ROAD BADAMIBAGH,,7285136,,IRON & STEEL RE-ROLLING MILLS,M.S. PRODUCTS
NEW-1333,DATA STEEL INDUSTRIES,SOHARWARDI ST.SHALIMAR TOWN,,,,IRON & STEEL RE-ROLLING MILLS,M.S. PRODUCTS
NEW-1334,EAST END EXPORTS (PVT) LTD.,114-INDUSTRIES AREA KOT LAKHPAT,,,,IRON & STEEL RE-ROLLING MILLS,M.S. PRODUCTS
NEW-1335,EASTERN STEEL RE-ROLLING MILLS,(PVT) LTD. BECO BADAMI BAGH,,7282373,,IRON & STEEL RE-ROLLING MILLS,M.S. PRODUCTS
NEW-1336,F.S.STEEL RE-ROLLING MILLS,SULTAN MAHMOOD ROAD SHALIMAR TOWN,,,,IRON & STEEL RE-ROLLING MILLS,M.S. PRODUCTS
NEW-1337,FAHAD INDUSTRIES,BHANI ROAD SHADI PURA,,0300-4174059,,IRON & STEEL RE-ROLLING MILLS,M.S. PRODUCTS
NEW-1338,FAIZ STEEL RE-ROLLING MILLS,"BUND ROAD, NEAR KAMAL KANTA MAHMOOD BOOTI ROAD",,6816322,,IRON & STEEL RE-ROLLING MILLS,M.S. PRODUCTS
NEW-1339,FARID STEEL RE-ROLLING MILLS,ABDUL SATTAR ROAD MISRISHAH,,,,IRON & STEEL RE-ROLLING MILLS,M.S. PRODUCTS
NEW-1340,FARIDIA STEEL RE-ROLLING MILLS,NEAR KOTHI HAQ NAWAZ SULTAN MAHMOOD ROAD,,6549903,,IRON & STEEL RE-ROLLING MILLS,M.S. PRODUCTS
NEW-1341,FARZAND RE-ROLLING MILLS,K.P.A.R. BAGHBANPURA,,6547643,,IRON & STEEL RE-ROLLING MILLS,M.S. PRODUCTS
NEW-1342,FAST AND EXPORTS (PVT) LTD.,114 INDUSTRIAL AREA KOT LAKHPAT,,5116001,,IRON & STEEL RE-ROLLING MILLS,M.S. PRODUCTS
NEW-1343,FAZAL STEEL RE-ROLLING MILLS,SHALIMAR TOWN,,,,IRON & STEEL RE-ROLLING MILLS,M.S. PRODUCTS
NEW-1344,FIAZ STEEL INDUSTRIES,LAKHODAIR ROAD SHALIMAR TOWN,,,,IRON & STEEL RE-ROLLING MILLS,M.S. PRODUCTS
NEW-1345,FINE STEEL INDUSTRIES,", MAHMOOD BOOTI",,,,IRON & STEEL RE-ROLLING MILLS,M.S. PRODUCTS
NEW-1346,FIVE STAR RE-ROLLING MILLS,"BHANI ROAD SHADI PURA, DAROGHAWALA",,,,IRON & STEEL RE-ROLLING MILLS,M.S. PRODUCTS
NEW-1347,FRIENDS STEEL MILLS,LTD. ABDUL QAYYUM ROAD BADAMI BAGH,,7281371-7281639,,IRON & STEEL RE-ROLLING MILLS,M.S. BAR
NEW-1348,G.A.STEEL RE-ROLLLING MILLS,NEAR RAILWAY CROSSING,,800645-801645,,IRON & STEEL RE-ROLLING MILLS,M.S. PRODUCTS
NEW-1349,G.H. TECHNICAL (STEEL RE-ROLLING  MILLS,", SULTAN MAHMOOD ROAD, SHALAMAR TOWN)",,,,IRON & STEEL RE-ROLLING MILLS,M.S. PRODUCTS
NEW-1350,GENERAL STEEL INDUSTRIES,DATA NAGAR BADAMI BAGH,,7283369,,IRON & STEEL RE-ROLLING MILLS,M.S. PRODUCTS
NEW-1351,GHARIB NAWAZ STEEL INDUSTRIES,LAKHODAIR ROAD SHALIMAR TOWN,,0300- 4439950,,IRON & STEEL RE-ROLLING MILLS,M.S. PRODUCTS
NEW-1352,GHOUSIA STEEL MILLS,BUND ROAD DAROGHAWALA,,,,IRON & STEEL RE-ROLLING MILLS,M.S. PRODUCTS
NEW-1353,GHULAM SARWAR RE-ROLLING MILLS,LAKHODAIR ROAD,,,,IRON & STEEL RE-ROLLING MILLS,M.S. PRODUCTS
